instance_name;mean_cost;mean_time 
dantzig42;0.11;12528.00
swiss42;0.12;22327.00
att48;0.19;209320.00
gr48;0.20;102378.00
hk48;0.19;247926.00
eil51;0.27;10190.60
berlin52;0.21;143721.00
brazil58;0.38;512361.00
st70;0.71;20557.00
eil76;1.20;17976.00
pr76;0.96;3455242.00
gr96;2.12;2097170.00
rat99;4.02;57986.00
kroA100;2.73;983128.00
kroB100;2.86;986008.00
kroC100;3.04;961324.00
kroD100;2.78;976965.00
kroE100;2.86;971266.00
rd100;2.91;340047.00
eil101;3.71;27513.00
lin105;2.68;603910.00
pr107;3.86;2026626.00
